AADFYear,CP,Region,LocalAuthority,Road,RoadCategory,Easting,Northing,StartJunction,EndJunction,LinkLength_km,LinkLength_miles,PedalCycles,Motorcycles,CarsTaxis,BusesCoaches,LightGoodsVehicles,V2AxleRigidHGV,V3AxleRigidHGV,V4or5AxleRigidHGV,V3or4AxleArticHGV,V5AxleArticHGV,V6orMoreAxleArticHGV,AllHGVs,AllMotorVehicles
"2009","80587","Scotland","Glasgow City","M74","TM","264600","662300","2","1","0.99","0.61","0","32","21517","164","4727","1178","295","180","138","318","559","2668","29108"
"2009","80596","Scotland","Glasgow City","M77","TM","254000","661850","2","1","2.8","1.73","0","227","62413","650","8543","2150","346","337","159","717","608","4317","76150"
"2009","80991","Scotland","Glasgow City","A8","PU","258100","664500","M8","A8","0.5","0.31","9","23","8359","86","1059","201","35","30","19","22","25","332","9859"
"2009","80992","Scotland","Glasgow City","A8","PU","258310","664570","A8","A8","0.4","0.24","59","93","12245","628","1747","362","65","70","22","36","31","586","15299"
"2009","80993","Scotland","Glasgow City","A8","PU","258230","664660","A8","A8","0.4","0.24","72","75","16187","690","2239","450","59","56","31","36","22","654","19845"
"2009","80994","Scotland","Glasgow City","A8","PU","258500","664530","A8","A77","0.4","0.24","24","27","7559","42","976","291","38","39","26","35","35","464","9068"
"2009","80995","Scotland","Glasgow City","A8","PU","258500","664640","A8","A77","0.4","0.24","50","22","5062","965","448","69","10","12","2","3","3","99","6596"
"2009","80996","Scotland","Glasgow City","A8","PU","258510","664410","TRADESTON STREET","A77","0.5","0.31","5","55","10242","60","2016","290","28","44","9","10","5","386","12759"
"2009","80997","Scotland","Glasgow City","A8","PU","258490","664300","TRADESTON STREET","A77","0.5","0.31","9","78","11894","49","2444","300","55","51","10","6","8","430","14895"
"2009","80998","Scotland","Glasgow City","A8","PU","258810","664560","A8","A8","0.2","0.12","13","31","6509","45","824","185","69","39","13","10","11","327","7736"
"2009","80999","Scotland","Glasgow City","A8","PU","258730","664470","A8","A8","0.1","0.06","33","12","7974","34","1109","258","35","20","22","19","19","373","9502"
"2009","81000","Scotland","Glasgow City","A8","PU","259000","664400","A8","A730","0.2","0.12","56","79","16013","43","2291","429","56","47","16","48","50","646","19072"
